title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
Project CARS,1.82,0.5141242937853108,1.0693785310734465,0.23649717514124297,"Linux, PC, PS3, PS4, Series, X360, XOne",Racing,Bandai Namco Games,Slightly Mad Studios,2014-04-01
Sonic & Knuckles,1.82,1.24,0.43,0.15,"GEN, PC, VC, XBL",Platform,Sega,Sonic Team,1994-10-17
The Sims: Hot Date,1.82,1.81,0.006711985741923062,0.0032880142580769462,PC,Simulation,Electronic Arts,Maxis,2001-11-21
Sniper Elite III,1.82,0.8200000000000001,0.76,0.24,"PC, PS3, PS4, X360, XOne",Shooter,505 Games,Rebellion Developments,2014-06-27
Dragon Quest XI,1.82,1.0778000959469063,0.4981635173661026,0.24403638668699115,3DS,Role-Playing,Square Enix,Square Enix,2017-07-29
Brothers In Arms: Hell's Highway,1.81,1.009212121212121,0.702060606060606,0.09872727272727272,"PS3, X360",Shooter,Ubisoft,Gearbox Software,2008-09-23
DDRMAX2: Dance Dance Revolution,1.81,1.05,0.59,0.16999999999999993,PS2,Simulation,Konami,Konami Computer Entertainment Tokyo,2003-09-23
NFL GameDay 2000,1.8,1.0,0.68,0.11999999999999988,PS,Sports,989 Studios,Red Zone Entertainment,1999-07-31
Tom Clancy's EndWar,1.8,1.0839779005524863,0.4972375690607735,0.2187845303867403,"DS, PC, PS3, PSN, PSP, X360, XBL",Strategy,Ubisoft,Ubisoft Shanghai,2008-11-04
NASCAR Thunder 2003,1.8,1.04,0.5800000000000001,0.17999999999999994,"GC, PC, PS, PS2, XB",Racing,EA Sports,EA Tiburon,2002-09-19
Darksiders II,1.8,0.8748603351955307,0.7139664804469273,0.21117318435754193,"PC, PS3, WiiU, X360",Action-Adventure,THQ,Vigil Games,2012-08-14
Sonic Advance 2,1.8,0.93,0.59,0.28,GBA,Platform,Sega,Dimps Corporation / Sonic Team,2003-03-09
Ben 10 Alien Force: Vilgax Attacks,1.8,0.8200000000000001,0.62,0.3600000000000001,"DS, PS2, PSN, PSP, Wii, X360",Action,D3 Publisher,Papaya Studio Corporation,2009-10-26
Pro Evolution Soccer 2014,1.8,0.12452830188679247,0.8377358490566038,0.8377358490566038,"3DS, PC, PS2, PS3, PSP, X360",Sports,Konami Digital Entertainment,Konami,2013-09-20
NBA 2K7,1.79,1.52,0.07,0.19999999999999996,"PS2, PS3, X360, XB",Sports,2K Sports,Visual Concepts,2006-09-25
Rayman Raving Rabbids,1.7899999999999998,1.556079545454545,0.10170454545454544,0.13221590909090905,"DS, GBA, PC, PS2, Series, Wii, WiiU, X360",Misc,Ubisoft,Ubisoft Montpellier,2006-11-14
The Getaway: Black Monday,1.78,0.39,1.01,0.38,PS2,Action,Sony Computer Entertainment,Team Soho,2005-01-11
TimeSplitters 2,1.78,0.97,0.6900000000000001,0.11999999999999988,"GC, PS2, XB",Shooter,Eidos Interactive,Free Radical Design,2002-10-09
Castlevania: Lords of Shadow,1.77,0.9199999999999999,0.54,0.31,"PS3, X360",Action,Konami,Mercury Steam,2010-10-05
Angry Birds: Star Wars,1.77,0.86,0.72,0.18999999999999995,"3DS, And, PC, PS3, PS4, PSV, Wii, WiiU, WinP, X360, XOne",Puzzle,Activision,Exient Entertainment,2012-11-08
Mx vs. ATV Reflex,1.77,1.17,0.4,0.20000000000000018,"DS, PS3, X360",Racing,THQ,Rainbow Studios,2009-12-01
Payday 2,1.77,0.9500000000000001,0.5800000000000001,0.23999999999999977,"NS, PC, PS3, PS4, X360, XOne",Shooter,505 Games,Overkill Software,2013-08-13
Test Drive,1.76,1.3074285714285714,0.2614857142857143,0.1910857142857143,"PC, PS2, XB",Racing,Atari,Pitbull Syndicate,2002-05-27
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",1.76,1.3599999999999999,0.3,0.10000000000000009,"DS, GBA, GC, PS2, XB",Adventure,Buena Vista,Amaze Entertainment,2005-11-14
Star Wars: Starfighter,1.76,0.61,0.87,0.28,"PC, PS2",Simulation,LucasArts,LucasArts,2001-02-19
Disney's Chicken Little,1.76,1.13,0.51,0.1200000000000001,"GBA, GC, PC, PS2, XB",Platform,Buena Vista,A2M,2005-10-18
Sonic the Hedgehog 3,1.76,1.02,0.47,0.27,"GEN, PSN, VC, XBL",Platform,Sega,Sonic Team,1994-01-23
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,1.76,1.26,0.47,0.030000000000000027,GBA,Action,THQ,Helixe / Altron,2007-02-27
Final Fantasy X / X-2 HD Remaster,1.76,0.4971751412429378,0.6463276836158192,0.616497175141243,"NS, PC, PS3, PS4, PSV, XOne",Role-Playing,Square Enix,Square Enix,2014-03-18
